,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
133,AB de Villiers,4.11667,0.0,4.11667
134,J Bairstow,4.1,0.0,4.1
135,,0.0,4.08019,4.08019
136,R Sathish,2.49167,1.58019,4.07186
137,JH Kallis,1.4125,2.6085,4.021
138,AB Dinda,0.92499,3.08963,4.01462
139,RR Pant,3.97084,0.0,3.97084
140,VR Aaron,1.33333,2.62265,3.95598
141,MN Samuels,1.0,2.95283,3.95283
142,,0.0,3.94812,3.94812
143,MS Dhoni,3.9375,0.0,3.9375
144,I Sharma,1.42501,2.45756,3.88257
145,S Gill,3.875,0.0,3.875
146,AL Menaria,1.47917,2.37265,3.85182
147,,0.0,3.84906,3.84906
148,,0.0,3.84434,3.84434
149,DA Miller,3.8,0.0,3.8
150,TM Head,3.79584,0.0,3.79584
151,,0.0,3.77358,3.77358
152,,0.0,3.76887,3.76887
153,JC Buttler,3.76665,0.0,3.76665
154,Mohammed Shami,1.64167,2.1085,3.75017
155,TM Dilshan,1.68749,2.01415,3.70164
156,,0.0,3.68396,3.68396
157,Y Venugopal Rao,1.94999,1.71698,3.66697
158,,0.0,3.66038,3.66038
159,,0.0,3.65567,3.65567
160,,0.0,3.65567,3.65567
161,,0.0,3.64623,3.64623
162,,0.0,3.62736,3.62736
163,KL Rahul,3.60835,0.0,3.60835
164,,0.0,3.59906,3.59906
165,,0.0,3.5802,3.5802
166,,0.0,3.58019,3.58019
167,PJ Sangwan,1.03749,2.5283,3.56579
168,,0.0,3.54246,3.54246
169,DA Warner,3.51667,0.0,3.51667
170,,0.0,3.51415,3.51415
171,KS Williamson,3.50833,0.0,3.50833
172,SC Ganguly,0.96667,2.53774,3.50441
173,,0.0,3.49528,3.49528
174,,0.0,3.4717,3.4717
175,HM Amla,3.46667,0.0,3.46667
176,,0.0,3.44811,3.44811
177,RA Tripathi,3.44584,0.0,3.44584
178,,0.0,3.37264,3.37264
179,,0.0,3.34434,3.34434
180,,0.0,3.33963,3.33963
181,S Nadeem,0.6375,2.68868,3.32618
182,JDP Oram,1.1875,2.1368,3.3243
183,R McLaren,1.43332,1.8585,3.29182
184,P Shaw,3.27917,0.0,3.27917
185,OA Shah,3.27499,0.0,3.27499
186,,0.0,3.25001,3.25001
187,SA Yadav,3.23751,0.0,3.23751
188,,0.0,3.20755,3.20755
189,Sachin Baby,3.17916,0.0,3.17916
190,WP Saha,3.17083,0.0,3.17083
191,,0.0,3.1651,3.1651
192,,0.0,3.15567,3.15567
193,,0.0,3.15567,3.15567
194,,0.0,3.15095,3.15095
195,KD Karthik,3.12917,0.0,3.12917
196,CA Lynn,3.10832,0.0,3.10832
197,MV Boucher,3.09583,0.0,3.09583
198,SPD Smith,3.09583,0.0,3.09583
199,KM Jadhav,3.06665,0.0,3.06665
200,,0.0,3.06132,3.06132
201,MJ Lumb,3.05834,0.0,3.05834
202,SV Samson,3.02918,0.0,3.02918
203,SW Billings,3.02917,0.0,3.02917
204,,0.0,3.01415,3.01415
205,AS Yadav,3.0125,0.0,3.0125
206,AA Jhunjhunwala,1.26666,1.73585,3.00251
207,MJ Guptill,2.98333,0.0,2.98333
208,,0.0,2.96699,2.96699
209,CL White,2.95001,0.0,2.95001
210,,0.0,2.91981,2.91981
211,,0.0,2.90566,2.90566
212,,0.0,2.88208,2.88208
213,,0.0,2.85377,2.85377
214,,0.0,2.84906,2.84906
215,E Lewis,2.84168,0.0,2.84168
216,SE Marsh,2.84166,0.0,2.84166
217,Q de Kock,2.83333,0.0,2.83333
218,ML Hayden,2.825,0.0,2.825
219,,0.0,2.80662,2.80662
220,DH Yagnik,2.78334,0.0,2.78334
221,F du Plessis,2.78334,0.0,2.78334
222,,0.0,2.73585,2.73585
223,AT Rayudu,2.73334,0.0,2.73334
224,LA Pomersbach,2.73333,0.0,2.73333
225,,0.0,2.73114,2.73114
